Flag,Device,Mastering Type,Map,Notes
,10.1.15.49,simple,BACBONE,
,10.1.15.49,simple,BACBONE,
,10.1.15.47(T73),simple,BACBONE,
,10.1.15.44,simple,BACBONE,
,10.1.15.44,simple,BACBONE,
,10025-T58_1,simple,BACBONE,
,10.1.15.44,simple,BACBONE,
,10.100.15.43(T35),simple,BACBONE,
,10.1.15.46(T35),simple,BACBONE,
,ESCRITORIO APERAM,simple,CARBONITA,
,10.1.15.50,simple,ITAMARANDIBA,
,10025-T1_1,simple,PLA/OLHD/LAGOA,
,10.100.15.109,simple,PLA/OLHD/LAGOA,
,10.201.11.156,simple,CAMPO LIMPO,
,10.201.11.156,simple,CAMPO LIMPO,
,SANTA JOANA FIBRA,simple,ITAMARANDIBA,
,10.201.11.122,simple,CARBONITA,
,10.201.11.125,simple,CARBONITA,
,10.201.11.124,simple,CARBONITA,
,10.100.15.6,simple,BACBONE,
,10.1.15.57,simple,BACBONE,
,10.1.15.57,simple,BACBONE,
,10025-T29_2,simple,SERRA NEGRA,
,10025-T19_7,simple,CAMPO LIMPO,
,10025-T73_10,simple,PLA/OLHD/LAGOA,
,10.0.60.10,simple,PLA/OLHD/LAGOA,
,10.100.15.41,simple,PLA/OLHD/LAGOA,
,10025-T23,simple,CAMPO LIMPO,
,10.100.15.6,simple,PLA/OLHD/LAGOA,
,10.100.15.6,simple,PLA/OLHD/LAGOA,
,10.100.15.47,simple,PLA/OLHD/LAGOA,
,10025-T23_1,simple,PLA/OLHD/LAGOA,
,10025-T23_1,simple,PLA/OLHD/LAGOA,
,10025-T25,simple,PLA/OLHD/LAGOA,
,10.201.11.17,simple,CAMPO LIMPO,
,10025-T86_1,simple,CAMPO LIMPO,
,10025-T86,simple,CAMPO LIMPO,
,10025-T86,simple,CAMPO LIMPO,
,10025-T85_2,simple,CAMPO LIMPO,
,10025-T85_1,simple,CAMPO LIMPO,
,ROTEADOR 1,simple,CAMPO LIMPO,
,10025-T19,simple,CAMPO LIMPO,
,10025-T19,simple,CAMPO LIMPO,
,10025-T19_10 MC,simple,CAMPO LIMPO,
,10025-T19,simple,CAMPO LIMPO,
,10.201.11.120,simple,CARBONITA,
,10.201.11.115,simple,CARBONITA,
,10.200.206.76 TPLINK,simple,ITAMARANDIBA,
,10.200.206.76 TPLINK,simple,ITAMARANDIBA,
,10.100.206.181,simple,SERRA NEGRA,
,10025-T24,simple,PLA/OLHD/LAGOA,
,10025-T24,simple,PLA/OLHD/LAGOA,
,10025-T25_1,simple,PLA/OLHD/LAGOA,
,10025-T25_3,simple,PLA/OLHD/LAGOA,
,10025-T25_4,simple,PLA/OLHD/LAGOA,
,10025-T25_2,simple,PLA/OLHD/LAGOA,
,10025-T25_2,simple,PLA/OLHD/LAGOA,
